dteday,year,month,dayofweek,hour,workingday,holiday,season,weather,temperature,humidity,count
2011-04-29,0,4,4,18,1.0,0.0,2.0,1.0,18.9,41,439.0
2011-04-29,0,4,4,19,1.0,0.0,2.0,1.0,18.8,41,270.0
2011-04-29,0,4,4,20,1.0,0.0,2.0,1.0,18.9,42,194.0
2011-04-29,0,4,4,11,1.0,0.0,2.0,1.0,11.1,81,157.0
2011-03-21,0,3,0,23,1.0,0.0,2.0,1.0,18.1,80,30.0
2011-04-29,0,4,4,21,1.0,0.0,2.0,1.0,18.8,44,195.0
2012-09-21,1,9,4,9,1.0,0.0,3.0,1.0,13.5,94,383.0
2012-09-21,1,9,4,10,1.0,0.0,3.0,1.0,13.3,95,225.0
2012-09-21,1,9,4,12,1.0,0.0,3.0,1.0,14.3,95,389.0
2012-03-22,1,3,3,20,1.0,0.0,2.0,1.0,24.2,59,424.0
2011-04-29,0,4,4,22,1.0,0.0,2.0,1.0,18.2,46,146.0
2011-03-28,0,3,0,19,1.0,0.0,2.0,1.0,7.5,32,173.0
2011-04-29,0,4,4,10,1.0,0.0,2.0,1.0,10.8,80,156.0
2011-04-29,0,4,4,8,1.0,0.0,2.0,1.0,11.8,76,421.0
2011-03-28,0,3,0,21,1.0,0.0,2.0,1.0,8.0,30,61.0
2011-03-28,0,3,0,22,1.0,0.0,2.0,1.0,7.8,29,40.0
2012-09-21,1,9,4,8,1.0,0.0,3.0,1.0,13.7,92,757.0
2011-03-21,0,3,0,22,1.0,0.0,2.0,1.0,21.0,64,78.0
2011-03-21,0,3,0,21,1.0,0.0,2.0,1.0,22.4,57,91.0
2011-03-21,0,3,0,20,1.0,0.0,2.0,1.0,22.3,55,122.0
2011-03-29,0,3,1,4,1.0,0.0,2.0,1.0,0.1,52,2.0
2012-09-21,1,9,4,1,1.0,0.0,3.0,1.0,18.1,66,49.0
2012-09-21,1,9,4,2,1.0,0.0,3.0,1.0,17.3,70,14.0
2012-09-21,1,9,4,3,1.0,0.0,3.0,1.0,16.5,75,12.0
2011-03-28,0,3,0,0,1.0,0.0,2.0,1.0,5.2,47,12.0
2011-03-28,0,3,0,1,1.0,0.0,2.0,1.0,3.3,63,6.0
2011-03-28,0,3,0,2,1.0,0.0,2.0,1.0,1.6,68,5.0
2011-03-28,0,3,0,3,1.0,0.0,2.0,1.0,0.6,67,2.0
2011-03-28,0,3,0,5,1.0,0.0,2.0,1.0,-0.8,60,8.0
2011-03-29,0,3,1,3,1.0,0.0,2.0,1.0,1.0,52,3.0
2011-03-28,0,3,0,6,1.0,0.0,2.0,1.0,-1.3,58,40.0
2011-03-28,0,3,0,8,1.0,0.0,2.0,1.0,-1.2,48,254.0
2011-03-28,0,3,0,10,1.0,0.0,2.0,1.0,-2.9,58,69.0
2012-09-21,1,9,4,4,1.0,0.0,3.0,1.0,15.8,80,10.0
2011-03-28,0,3,0,14,1.0,0.0,2.0,1.0,1.4,40,80.0
2011-03-28,0,3,0,15,1.0,0.0,2.0,1.0,2.7,39,72.0
2011-03-28,0,3,0,16,1.0,0.0,2.0,1.0,3.7,37,132.0
2011-03-28,0,3,0,7,1.0,0.0,2.0,1.0,-0.6,47,110.0
2011-03-28,0,3,0,17,1.0,0.0,2.0,1.0,5.1,36,252.0
2011-03-24,0,3,3,23,1.0,0.0,2.0,1.0,7.1,48,33.0
2011-03-21,0,3,0,5,1.0,0.0,2.0,1.0,6.2,65,2.0
2011-03-25,0,3,4,0,1.0,0.0,2.0,1.0,6.4,50,18.0
2011-03-21,0,3,0,19,1.0,0.0,2.0,1.0,21.2,56,221.0
2012-05-10,1,5,3,13,1.0,0.0,2.0,1.0,13.7,69,318.0
2011-03-28,0,3,0,23,1.0,0.0,2.0,1.0,6.7,35,19.0
2012-05-01,1,5,1,19,1.0,0.0,2.0,1.0,27.6,50,487.0
2012-05-01,1,5,1,21,1.0,0.0,2.0,1.0,27.3,47,282.0
2011-06-24,0,6,4,8,1.0,0.0,3.0,1.0,22.3,90,466.0
2012-05-11,1,5,4,14,1.0,0.0,2.0,1.0,15.6,42,334.0
2012-05-08,1,5,1,6,1.0,0.0,2.0,1.0,15.2,75,165.0
2012-05-08,1,5,1,7,1.0,0.0,2.0,1.0,15.6,73,463.0
2011-06-24,0,6,4,9,1.0,0.0,3.0,1.0,22.0,92,231.0
2011-06-24,0,6,4,10,1.0,0.0,3.0,1.0,21.7,93,145.0
2011-06-23,0,6,3,19,1.0,0.0,3.0,1.0,25.1,86,400.0
2011-06-23,0,6,3,18,1.0,0.0,3.0,1.0,27.5,71,540.0
2012-05-11,1,5,4,23,1.0,0.0,2.0,1.0,20.3,35,180.0
2012-05-11,1,5,4,22,1.0,0.0,2.0,1.0,21.6,27,234.0
2011-06-24,0,6,4,6,1.0,0.0,3.0,1.0,23.2,85,91.0
2012-05-11,1,5,4,21,1.0,0.0,2.0,1.0,22.1,25,270.0
2012-05-11,1,5,4,19,1.0,0.0,2.0,1.0,21.8,25,503.0
2012-05-11,1,5,4,18,1.0,0.0,2.0,1.0,21.0,25,596.0
2012-05-11,1,5,4,16,1.0,0.0,2.0,1.0,18.6,31,525.0
2011-08-25,0,8,3,13,1.0,0.0,3.0,1.0,23.7,85,37.0
2012-05-07,1,5,0,20,1.0,0.0,2.0,1.0,21.6,54,323.0
2012-05-07,1,5,0,19,1.0,0.0,2.0,1.0,21.1,55,546.0
2012-05-02,1,5,2,2,1.0,0.0,2.0,1.0,19.4,83,16.0
2012-05-02,1,5,2,1,1.0,0.0,2.0,1.0,20.9,76,15.0
2012-05-02,1,5,2,0,1.0,0.0,2.0,1.0,23.3,71,47.0
2012-04-26,1,4,3,20,1.0,0.0,2.0,1.0,19.0,70,337.0
2012-05-11,1,5,4,20,1.0,0.0,2.0,1.0,21.9,25,341.0
2011-06-24,0,6,4,5,1.0,0.0,3.0,1.0,23.5,84,20.0
2012-05-01,1,5,1,10,1.0,0.0,2.0,1.0,16.3,94,174.0
2012-05-17,1,5,3,22,1.0,0.0,2.0,1.0,22.6,34,251.0
2012-05-16,1,5,2,5,1.0,0.0,2.0,1.0,18.0,97,38.0
2012-05-11,1,5,4,12,1.0,0.0,2.0,1.0,11.5,58,348.0
2012-05-16,1,5,2,19,1.0,0.0,2.0,1.0,27.0,41,590.0
2012-05-16,1,5,2,18,1.0,0.0,2.0,1.0,27.2,43,846.0
2012-05-16,1,5,2,17,1.0,0.0,2.0,1.0,26.6,46,873.0
2012-05-16,1,5,2,16,1.0,0.0,2.0,1.0,25.6,50,446.0
2012-05-02,1,5,2,15,1.0,0.0,2.0,1.0,23.0,75,256.0
2012-05-16,1,5,2,20,1.0,0.0,2.0,1.0,27.6,39,459.0
2012-05-02,1,5,2,14,1.0,0.0,2.0,1.0,21.2,82,240.0
2012-05-02,1,5,2,5,1.0,0.0,2.0,1.0,17.3,93,33.0
2012-05-02,1,5,2,4,1.0,0.0,2.0,1.0,17.9,90,4.0
2012-05-02,1,5,2,3,1.0,0.0,2.0,1.0,18.5,87,6.0
2012-05-11,1,5,4,13,1.0,0.0,2.0,1.0,13.6,50,363.0
2012-05-11,1,5,4,15,1.0,0.0,2.0,1.0,17.3,35,439.0
2012-05-07,1,5,0,6,1.0,0.0,2.0,1.0,14.7,88,142.0
2012-05-07,1,5,0,5,1.0,0.0,2.0,1.0,15.3,84,23.0
2012-04-30,1,4,0,2,1.0,0.0,2.0,1.0,12.1,70,8.0
2012-04-30,1,4,0,1,1.0,0.0,2.0,1.0,14.3,64,24.0
2012-04-30,1,4,0,0,1.0,0.0,2.0,1.0,16.9,63,48.0
2012-05-17,1,5,3,23,1.0,0.0,2.0,1.0,21.7,37,166.0
2012-05-18,1,5,4,0,1.0,0.0,2.0,1.0,20.0,49,70.0
2012-05-18,1,5,4,1,1.0,0.0,2.0,1.0,17.8,54,49.0
2012-04-30,1,4,0,3,1.0,0.0,2.0,1.0,10.5,72,4.0
2012-04-26,1,4,3,17,1.0,0.0,2.0,1.0,15.7,82,614.0
2012-05-01,1,5,1,20,1.0,0.0,2.0,1.0,27.6,48,335.0
2012-04-26,1,4,3,21,1.0,0.0,2.0,1.0,19.5,67,250.0
2012-04-27,1,4,4,10,1.0,0.0,2.0,1.0,9.0,63,236.0
2012-04-27,1,4,4,4,1.0,0.0,2.0,1.0,15.0,83,6.0
2011-09-20,0,9,1,22,1.0,0.0,3.0,1.0,22.0,73,148.0
2012-04-30,1,4,0,17,1.0,0.0,2.0,1.0,15.1,59,683.0
2012-04-30,1,4,0,16,1.0,0.0,2.0,1.0,13.9,55,347.0
2011-09-20,0,9,1,23,1.0,0.0,3.0,1.0,21.0,78,81.0
2012-05-03,1,5,3,13,1.0,0.0,2.0,1.0,16.1,84,265.0
2012-05-03,1,5,3,14,1.0,0.0,2.0,1.0,18.0,82,204.0
2012-05-03,1,5,3,15,1.0,0.0,2.0,1.0,20.5,76,283.0
2011-09-20,0,9,1,19,1.0,0.0,3.0,1.0,21.8,74,337.0
2011-06-24,0,6,4,11,1.0,0.0,3.0,1.0,22.2,92,203.0
2012-04-27,1,4,4,3,1.0,0.0,2.0,1.0,16.8,88,3.0
2011-06-24,0,6,4,13,1.0,0.0,3.0,1.0,24.7,80,221.0
2011-06-28,0,6,1,12,1.0,0.0,3.0,1.0,23.0,94,202.0
2011-06-28,0,6,1,13,1.0,0.0,3.0,1.0,24.5,89,189.0
2011-06-28,0,6,1,14,1.0,0.0,3.0,1.0,25.7,86,160.0
2011-06-28,0,6,1,15,1.0,0.0,3.0,1.0,27.3,76,166.0
2012-05-01,1,5,1,16,1.0,0.0,2.0,1.0,24.2,67,354.0
2012-05-04,1,5,4,9,1.0,0.0,2.0,1.0,16.2,99,294.0
2012-05-02,1,5,2,22,1.0,0.0,2.0,1.0,21.7,70,173.0
2012-05-02,1,5,2,21,1.0,0.0,2.0,1.0,23.1,68,239.0
2012-05-01,1,5,1,23,1.0,0.0,2.0,1.0,25.5,60,95.0
2012-05-01,1,5,1,22,1.0,0.0,2.0,1.0,26.7,52,211.0
2011-06-28,0,6,1,11,1.0,0.0,3.0,1.0,21.7,96,167.0
2012-04-27,1,4,4,2,1.0,0.0,2.0,1.0,16.5,91,22.0
2012-04-27,1,4,4,1,1.0,0.0,2.0,1.0,16.5,89,35.0
2011-09-20,0,9,1,21,1.0,0.0,3.0,1.0,22.5,70,206.0
2012-04-27,1,4,4,11,1.0,0.0,2.0,1.0,8.6,66,233.0
2012-04-27,1,4,4,12,1.0,0.0,2.0,1.0,9.0,61,307.0
2012-04-26,1,4,3,22,1.0,0.0,2.0,1.0,19.1,71,183.0
2012-04-27,1,4,4,0,1.0,0.0,2.0,1.0,16.9,83,73.0
2012-05-03,1,5,3,11,1.0,0.0,2.0,1.0,13.9,88,201.0
2012-04-26,1,4,3,23,1.0,0.0,2.0,1.0,18.5,75,112.0
2012-05-03,1,5,3,17,1.0,0.0,2.0,1.0,24.9,65,704.0
2011-04-14,0,4,3,21,1.0,0.0,2.0,1.0,20.8,36,145.0
2011-04-14,0,4,3,20,1.0,0.0,2.0,1.0,20.8,37,169.0
2011-04-14,0,4,3,19,1.0,0.0,2.0,1.0,20.4,39,259.0
2011-09-20,0,9,1,17,1.0,0.0,3.0,1.0,19.2,92,511.0
2012-05-03,1,5,3,12,1.0,0.0,2.0,1.0,14.8,86,301.0
2011-09-20,0,9,1,18,1.0,0.0,3.0,1.0,19.6,89,492.0
2012-04-30,1,4,0,8,1.0,0.0,2.0,1.0,8.8,77,596.0
2011-09-21,0,9,2,0,1.0,0.0,3.0,1.0,20.0,83,27.0
2011-09-21,0,9,2,1,1.0,0.0,3.0,1.0,19.1,88,17.0
2012-04-27,1,4,4,8,1.0,0.0,2.0,1.0,11.0,61,592.0
2012-04-27,1,4,4,7,1.0,0.0,2.0,1.0,12.1,67,315.0
2012-04-27,1,4,4,6,1.0,0.0,2.0,1.0,11.6,73,120.0
2011-09-21,0,9,2,2,1.0,0.0,3.0,1.0,18.3,92,6.0
2011-09-22,0,9,3,0,1.0,0.0,3.0,1.0,20.4,98,41.0
2012-04-27,1,4,4,5,1.0,0.0,2.0,1.0,13.1,79,19.0
2011-09-20,0,9,1,20,1.0,0.0,3.0,1.0,22.4,71,253.0
2012-04-27,1,4,4,9,1.0,0.0,2.0,1.0,9.9,60,334.0
2011-03-29,0,3,1,0,1.0,0.0,2.0,1.0,5.2,43,16.0
2011-03-29,0,3,1,1,1.0,0.0,2.0,1.0,3.3,52,4.0
2011-03-29,0,3,1,2,1.0,0.0,2.0,1.0,1.9,53,3.0
2012-08-10,1,8,4,20,1.0,0.0,3.0,1.0,28.9,57,370.0
2012-08-10,1,8,4,22,1.0,0.0,3.0,1.0,29.2,57,218.0
2012-04-03,1,4,1,17,1.0,0.0,2.0,1.0,16.6,30,757.0
2011-04-28,0,4,3,19,1.0,0.0,2.0,1.0,23.7,68,404.0
2011-04-27,0,4,2,13,1.0,0.0,2.0,1.0,21.3,88,150.0
2011-04-27,0,4,2,14,1.0,0.0,2.0,1.0,22.5,82,148.0
2011-04-27,0,4,2,15,1.0,0.0,2.0,1.0,24.0,74,138.0
2011-04-27,0,4,2,16,1.0,0.0,2.0,1.0,24.6,75,218.0
2011-04-27,0,4,2,19,1.0,0.0,2.0,1.0,27.4,66,260.0
2011-04-27,0,4,2,20,1.0,0.0,2.0,1.0,27.6,66,218.0
2012-08-30,1,8,3,8,1.0,0.0,3.0,1.0,19.5,90,754.0
2011-04-28,0,4,3,18,1.0,0.0,2.0,1.0,18.6,82,530.0
2012-03-23,1,3,4,3,1.0,0.0,2.0,1.0,17.2,95,10.0
2012-03-23,1,3,4,2,1.0,0.0,2.0,1.0,17.8,92,32.0
2012-03-23,1,3,4,1,1.0,0.0,2.0,1.0,18.7,86,50.0
2012-03-23,1,3,4,0,1.0,0.0,2.0,1.0,19.7,79,95.0
2012-03-22,1,3,3,23,1.0,0.0,2.0,1.0,22.1,69,151.0
2012-09-21,1,9,4,23,1.0,0.0,3.0,1.0,21.9,66,186.0
2012-03-22,1,3,3,21,1.0,0.0,2.0,1.0,24.3,58,374.0
2012-03-22,1,3,3,19,1.0,0.0,2.0,1.0,23.6,62,586.0
2012-03-22,1,3,3,18,1.0,0.0,2.0,1.0,22.1,69,801.0
2012-03-22,1,3,3,17,1.0,0.0,2.0,1.0,20.9,75,810.0
2011-04-27,0,4,2,21,1.0,0.0,2.0,1.0,26.2,70,145.0
2011-04-28,0,4,3,20,1.0,0.0,2.0,1.0,23.9,65,269.0
2011-04-28,0,4,3,22,1.0,0.0,2.0,1.0,22.5,72,153.0
2012-03-22,1,3,3,3,1.0,0.0,2.0,1.0,16.3,94,7.0
2011-05-25,0,5,2,21,1.0,0.0,2.0,1.0,29.0,50,236.0
2012-08-10,1,8,4,17,1.0,0.0,3.0,1.0,24.4,95,730.0
2011-05-26,0,5,3,0,1.0,0.0,2.0,1.0,25.4,70,45.0
2011-05-26,0,5,3,1,1.0,0.0,2.0,1.0,23.9,74,16.0
2011-05-26,0,5,3,2,1.0,0.0,2.0,1.0,23.0,75,14.0
2011-05-26,0,5,3,3,1.0,0.0,2.0,1.0,22.3,77,4.0
2011-05-26,0,5,3,4,1.0,0.0,2.0,1.0,21.8,79,2.0
2011-05-23,0,5,0,20,1.0,0.0,2.0,1.0,27.8,60,310.0
2011-05-18,0,5,2,22,1.0,0.0,2.0,1.0,19.8,82,117.0
2011-05-25,0,5,2,10,1.0,0.0,2.0,1.0,18.3,93,135.0
2011-05-25,0,5,2,8,1.0,0.0,2.0,1.0,19.2,91,531.0
2011-05-19,0,5,3,0,1.0,0.0,2.0,1.0,17.8,90,29.0
2011-05-19,0,5,3,1,1.0,0.0,2.0,1.0,16.4,95,6.0
2011-05-19,0,5,3,2,1.0,0.0,2.0,1.0,15.8,97,15.0
2011-05-19,0,5,3,3,1.0,0.0,2.0,1.0,15.2,99,4.0
2011-05-19,0,5,3,4,1.0,0.0,2.0,1.0,15.3,98,5.0
2011-05-19,0,5,3,5,1.0,0.0,2.0,1.0,15.2,99,26.0
2011-05-25,0,5,2,9,1.0,0.0,2.0,1.0,18.7,92,234.0
2011-05-19,0,5,3,15,1.0,0.0,2.0,1.0,18.9,79,188.0
2012-08-10,1,8,4,14,1.0,0.0,3.0,1.0,24.3,96,307.0
2012-08-10,1,8,4,15,1.0,0.0,3.0,1.0,23.6,96,324.0
2012-08-10,1,8,4,16,1.0,0.0,3.0,1.0,23.4,97,467.0
2011-05-25,0,5,2,23,1.0,0.0,2.0,1.0,27.3,61,86.0
2012-03-22,1,3,3,16,1.0,0.0,2.0,1.0,19.7,82,425.0
2011-05-25,0,5,2,11,1.0,0.0,2.0,1.0,18.7,94,140.0
2012-03-22,1,3,3,15,1.0,0.0,2.0,1.0,18.1,88,304.0
2012-03-22,1,3,3,13,1.0,0.0,2.0,1.0,15.8,95,298.0
2011-04-28,0,4,3,17,1.0,0.0,2.0,1.0,20.2,87,455.0
2011-03-22,0,3,1,1,1.0,0.0,2.0,1.0,16.2,87,19.0
2012-04-02,1,4,0,9,1.0,0.0,2.0,1.0,9.5,87,317.0
2012-04-02,1,4,0,7,1.0,0.0,2.0,1.0,11.6,93,306.0
2011-05-02,0,5,0,12,1.0,0.0,2.0,1.0,13.3,82,187.0
2011-05-02,0,5,0,11,1.0,0.0,2.0,1.0,12.6,81,130.0
2012-04-12,1,4,3,19,1.0,0.0,2.0,1.0,14.3,31,433.0
2012-04-12,1,4,3,18,1.0,0.0,2.0,1.0,14.9,28,610.0
2012-04-12,1,4,3,17,1.0,0.0,2.0,1.0,14.2,32,656.0
2012-04-12,1,4,3,16,1.0,0.0,2.0,1.0,12.9,39,353.0
2011-04-28,0,4,3,16,1.0,0.0,2.0,1.0,21.7,89,270.0
2012-04-12,1,4,3,15,1.0,0.0,2.0,1.0,11.5,46,211.0
2012-04-12,1,4,3,13,1.0,0.0,2.0,1.0,7.5,61,203.0
2012-04-12,1,4,3,12,1.0,0.0,2.0,1.0,5.4,70,259.0
2012-04-12,1,4,3,11,1.0,0.0,2.0,1.0,4.3,74,224.0
2012-04-12,1,4,3,20,1.0,0.0,2.0,1.0,14.6,30,280.0
2012-04-12,1,4,3,10,1.0,0.0,2.0,1.0,4.5,72,141.0
2012-04-12,1,4,3,8,1.0,0.0,2.0,1.0,5.1,69,624.0
2012-04-12,1,4,3,7,1.0,0.0,2.0,1.0,5.4,68,306.0
2012-04-12,1,4,3,6,1.0,0.0,2.0,1.0,6.0,66,96.0
2012-04-13,1,4,4,11,1.0,0.0,2.0,1.0,4.4,77,233.0
2012-04-13,1,4,4,12,1.0,0.0,2.0,1.0,6.6,76,322.0
2012-04-12,1,4,3,14,1.0,0.0,2.0,1.0,9.7,54,224.0
2011-04-28,0,4,3,15,1.0,0.0,2.0,1.0,22.0,88,163.0
2011-04-28,0,4,3,14,1.0,0.0,2.0,1.0,23.4,79,142.0
2011-04-28,0,4,3,21,1.0,0.0,2.0,1.0,23.8,66,194.0
2012-03-22,1,3,3,22,1.0,0.0,2.0,1.0,23.7,61,220.0
2011-04-28,0,4,3,0,1.0,0.0,2.0,1.0,23.3,81,54.0
2011-05-26,0,5,3,22,1.0,0.0,2.0,1.0,31.7,45,180.0
2011-05-26,0,5,3,23,1.0,0.0,2.0,1.0,30.1,51,90.0
2011-05-27,0,5,4,0,1.0,0.0,2.0,1.0,28.2,57,69.0
2011-05-27,0,5,4,1,1.0,0.0,2.0,1.0,27.2,54,50.0
2011-05-27,0,5,4,2,1.0,0.0,2.0,1.0,26.7,53,18.0
2011-05-27,0,5,4,3,1.0,0.0,2.0,1.0,26.0,54,12.0
2011-05-27,0,5,4,4,1.0,0.0,2.0,1.0,25.4,54,7.0
2011-05-27,0,5,4,5,1.0,0.0,2.0,1.0,24.7,53,31.0
2011-05-27,0,5,4,6,1.0,0.0,2.0,1.0,24.1,54,81.0
2011-05-26,0,5,3,21,1.0,0.0,2.0,1.0,32.4,43,223.0
2011-05-27,0,5,4,7,1.0,0.0,2.0,1.0,23.1,66,249.0
2011-05-27,0,5,4,9,1.0,0.0,2.0,1.0,21.1,76,227.0
2011-05-27,0,5,4,10,1.0,0.0,2.0,1.0,20.5,81,153.0
2011-05-27,0,5,4,13,1.0,0.0,2.0,1.0,24.3,73,209.0
2011-05-27,0,5,4,14,1.0,0.0,2.0,1.0,25.8,67,239.0
2011-05-27,0,5,4,15,1.0,0.0,2.0,1.0,26.8,64,356.0
2011-05-27,0,5,4,17,1.0,0.0,2.0,1.0,27.2,68,491.0
2011-05-27,0,5,4,8,1.0,0.0,2.0,1.0,22.3,73,418.0
2011-05-26,0,5,3,20,1.0,0.0,2.0,1.0,32.6,43,322.0
2011-05-26,0,5,3,19,1.0,0.0,2.0,1.0,32.4,46,378.0
2011-05-26,0,5,3,18,1.0,0.0,2.0,1.0,32.2,46,478.0
2012-03-22,1,3,3,14,1.0,0.0,2.0,1.0,16.7,92,257.0
2011-05-25,0,5,2,20,1.0,0.0,2.0,1.0,28.8,52,340.0
2011-05-25,0,5,2,19,1.0,0.0,2.0,1.0,28.6,53,405.0
2011-05-25,0,5,2,18,1.0,0.0,2.0,1.0,27.6,56,517.0
2011-03-29,0,3,1,18,1.0,0.0,2.0,1.0,9.0,31,294.0
2011-03-29,0,3,1,19,1.0,0.0,2.0,1.0,9.9,31,190.0
2011-03-29,0,3,1,20,1.0,0.0,2.0,1.0,10.4,30,132.0
2011-03-29,0,3,1,21,1.0,0.0,2.0,1.0,10.4,30,83.0
2012-03-30,1,3,4,19,1.0,0.0,2.0,1.0,13.1,58,395.0
2012-03-30,1,3,4,21,1.0,0.0,2.0,1.0,12.0,63,220.0
2011-05-02,0,5,0,14,1.0,0.0,2.0,1.0,18.2,71,181.0
2011-05-02,0,5,0,15,1.0,0.0,2.0,1.0,20.2,67,155.0
2011-05-02,0,5,0,16,1.0,0.0,2.0,1.0,21.8,64,269.0
2011-05-02,0,5,0,17,1.0,0.0,2.0,1.0,23.7,59,537.0
2011-03-29,0,3,1,17,1.0,0.0,2.0,1.0,8.0,32,299.0
2012-03-30,1,3,4,20,1.0,0.0,2.0,1.0,12.7,60,209.0
2012-09-21,1,9,4,15,1.0,0.0,3.0,1.0,21.9,64,423.0
2012-09-21,1,9,4,14,1.0,0.0,3.0,1.0,20.0,71,412.0
2012-09-21,1,9,4,13,1.0,0.0,3.0,1.0,17.9,81,421.0
2012-03-30,1,3,4,23,1.0,0.0,2.0,1.0,10.9,65,123.0
2012-03-30,1,3,4,22,1.0,0.0,2.0,1.0,11.5,64,153.0
2011-03-29,0,3,1,22,1.0,0.0,2.0,1.0,10.0,30,55.0
2011-03-25,0,3,4,18,1.0,0.0,2.0,1.0,8.3,36,198.0
2011-03-25,0,3,4,14,1.0,0.0,2.0,1.0,2.4,48,133.0
