dteday,month,dayofweek,hour,holiday,season,weather,temperature,humidity,count
2011-01-03,1,1,11,0,1,1,-1.8,38,51
2011-01-03,1,1,12,0,1,1,-2.0,38,61
2011-01-03,1,1,13,0,1,1,-2.0,43,61
2011-01-03,1,1,14,0,1,1,-1.0,41,77
2011-01-03,1,1,15,0,1,1,0.2,38,72
2011-01-03,1,1,16,0,1,1,1.3,37,76
2011-01-03,1,1,17,0,1,1,2.2,36,157
2011-01-03,1,1,18,0,1,1,3.1,35,157
2011-01-03,1,1,19,0,1,1,3.1,35,110
2011-01-03,1,1,20,0,1,1,3.3,34,52
2011-01-03,1,1,21,0,1,1,3.0,35,52
2011-01-03,1,1,22,0,1,1,1.9,40,20
2011-01-03,1,1,23,0,1,1,0.2,52,12
2011-01-04,1,2,0,0,1,1,-1.5,62,5
2011-01-04,1,2,1,0,1,1,-2.3,64,2
2011-01-04,1,2,2,0,1,1,-2.8,64,1
2011-01-04,1,2,3,0,1,1,-3.0,65,1
2011-01-04,1,2,4,0,1,1,-3.1,65,2
2011-01-04,1,2,5,0,1,1,-3.1,66,4
2011-01-04,1,2,6,0,1,1,-3.1,65,36
2011-01-04,1,2,7,0,1,1,-3.7,66,94
2011-01-04,1,2,8,0,1,1,-3.9,68,179
2011-01-04,1,2,9,0,1,1,-3.9,69,100
2011-01-04,1,2,10,0,1,1,-4.0,69,42
2011-01-04,1,2,11,0,1,1,-4.1,69,57
2011-01-04,1,2,12,0,1,1,-4.0,69,78
2011-01-04,1,2,13,0,1,1,-3.2,65,97
2011-01-04,1,2,14,0,1,1,-0.6,56,63
2011-01-04,1,2,15,0,1,1,1.7,49,65
2011-01-04,1,2,16,0,1,1,3.6,48,83
2011-01-04,1,2,17,0,1,1,5.0,45,212
2011-01-04,1,2,18,0,1,1,6.3,42,182
2011-01-04,1,2,19,0,1,1,6.7,40,112
2011-01-04,1,2,20,0,1,1,6.8,40,54
2011-01-04,1,2,21,0,1,1,5.3,46,48
2011-01-04,1,2,22,0,1,1,2.6,54,35
2011-01-04,1,2,23,0,1,1,1.4,58,11
2011-01-05,1,3,0,0,1,1,0.7,60,6
2011-01-05,1,3,1,0,1,1,0.0,63,6
2011-01-05,1,3,2,0,1,1,-0.5,64,2
2011-01-05,1,3,3,0,1,1,-0.9,66,2
2011-01-05,1,3,4,0,1,1,-1.7,71,2
2011-01-05,1,3,5,0,1,1,-2.4,74,3
2011-01-05,1,3,6,0,1,1,-2.7,75,33
2011-01-05,1,3,7,0,1,1,-1.5,66,88
2011-01-05,1,3,8,0,1,1,-1.7,68,195
2011-01-05,1,3,9,0,1,1,-2.7,72,115
2011-01-05,1,3,10,0,1,1,-3.4,74,57
2011-01-05,1,3,11,0,1,1,-3.7,74,46
2011-01-05,1,3,12,0,1,1,-4.1,74,79
2011-01-05,1,3,13,0,1,1,-3.9,71,71
2011-01-05,1,3,14,0,1,1,-0.5,55,62
2011-01-05,1,3,15,0,1,1,1.3,45,62
2011-01-05,1,3,16,0,1,1,2.0,44,89
2011-01-05,1,3,17,0,1,1,2.7,43,190
2011-01-05,1,3,18,0,1,1,3.3,40,169
2011-01-05,1,3,19,0,1,1,4.1,39,132
2011-01-05,1,3,20,0,1,1,4.1,39,89
2011-01-05,1,3,21,0,1,1,3.4,43,43
2011-01-05,1,3,22,0,1,1,2.6,44,42
2011-01-05,1,3,23,0,1,1,-0.4,61,19
2011-01-06,1,4,0,0,1,1,-1.8,67,11
2011-01-06,1,4,1,0,1,1,-2.2,68,4
2011-01-06,1,4,2,0,1,1,-2.0,66,2
2011-01-06,1,4,3,0,1,1,-2.5,67,2
2011-01-06,1,4,4,0,1,1,-2.2,65,1
2011-01-06,1,4,5,0,1,1,-1.6,63,4
2011-01-06,1,4,6,0,1,1,-1.1,62,36
2011-01-06,1,4,7,0,1,1,-3.6,66,95
2011-01-06,1,4,8,0,1,1,-4.0,67,219
2011-01-06,1,4,9,0,1,1,-4.0,65,122
2011-01-06,1,4,10,0,1,1,-3.6,61,45
2011-01-06,1,4,11,0,1,1,-3.4,59,59
2011-01-06,1,4,12,0,1,1,-3.2,57,84
2011-01-06,1,4,13,0,1,1,-2.5,55,67
2011-01-06,1,4,14,0,1,1,-1.4,52,70
2011-01-06,1,4,15,0,1,1,0.8,41,62
2011-01-06,1,4,16,0,1,1,2.3,35,86
2011-01-06,1,4,17,0,1,1,3.1,39,172
2011-01-06,1,4,18,0,1,1,3.4,38,163
2011-01-06,1,4,19,0,1,1,3.4,39,112
2011-01-06,1,4,20,0,1,1,3.4,39,69
2011-01-06,1,4,21,0,1,1,2.6,43,48
2011-01-06,1,4,22,0,1,1,0.9,48,52
2011-01-06,1,4,23,0,1,1,-0.9,56,23
2011-01-07,1,5,0,0,1,1,-1.9,62,17
2011-01-07,1,5,1,0,1,1,-2.7,68,7
2011-01-07,1,5,2,0,1,1,-2.9,71,1
2011-01-07,1,5,3,0,1,1,-2.5,72,1
2011-01-07,1,5,4,0,1,1,-2.1,73,1
2011-01-07,1,5,5,0,1,4,-1.7,74,5
2011-01-07,1,5,6,0,1,4,-1.6,76,34
2011-01-07,1,5,7,0,1,4,-1.1,73,84
2011-01-07,1,5,8,0,1,4,-1.0,72,210
2011-01-07,1,5,9,0,1,1,-0.9,71,134
2011-01-07,1,5,10,0,1,1,-1.0,70,63
2011-01-07,1,5,11,0,1,1,-0.9,66,67
2011-01-07,1,5,12,0,1,1,-1.2,63,59
2011-01-07,1,5,13,0,1,1,-1.5,59,73
2011-01-07,1,5,14,0,1,1,-0.5,50,50
2011-01-07,1,5,15,0,1,1,0.4,41,72
2011-01-07,1,5,16,0,1,1,1.2,39,87
2011-01-07,1,5,17,0,1,1,2.9,32,187
2011-01-07,1,5,18,0,1,1,3.2,31,123
2011-01-07,1,5,19,0,1,1,2.9,32,95
2011-01-07,1,5,20,0,1,1,2.9,32,51
2011-01-07,1,5,21,0,1,1,2.1,35,39
2011-01-07,1,5,22,0,1,1,0.6,50,36
2011-01-07,1,5,23,0,1,1,-1.9,56,15
2011-01-08,1,6,0,0,1,1,-3.5,62,25
2011-01-08,1,6,1,0,1,1,-4.0,59,16
2011-01-08,1,6,2,0,1,1,-3.9,60,16
2011-01-08,1,6,3,0,1,1,-3.5,58,7
2011-01-08,1,6,4,0,1,1,-3.2,62,1
2011-01-08,1,6,5,0,1,1,-2.3,62,5
2011-01-08,1,6,6,0,1,1,-1.5,62,2
2011-01-08,1,6,7,0,1,4,-1.6,67,9
2011-01-08,1,6,8,0,1,4,-1.8,72,15
2011-01-08,1,6,9,0,1,4,-1.8,74,20
2011-01-08,1,6,10,0,1,4,-2.2,78,61
2011-01-08,1,6,11,0,1,4,-2.2,79,62
2011-01-08,1,6,12,0,1,4,-2.4,81,98
2011-01-08,1,6,13,0,1,4,-2.6,82,102
2011-01-08,1,6,14,0,1,4,-1.3,75,95
2011-01-08,1,6,15,0,1,1,0.1,65,74
2011-01-08,1,6,16,0,1,1,1.0,52,76
2011-01-08,1,6,17,0,1,1,1.6,43,69
2011-01-08,1,6,18,0,1,1,1.6,36,55
2011-01-08,1,6,19,0,1,1,0.4,35,30
2011-01-08,1,6,20,0,1,1,-0.3,35,28
2011-01-08,1,6,21,0,1,1,-1.0,35,37
2011-01-08,1,6,22,0,1,1,-2.3,34,34
2011-01-08,1,6,23,0,1,1,-3.1,35,22
2011-01-09,1,7,0,0,1,1,-3.4,35,25
2011-01-09,1,7,1,0,1,1,-3.6,36,12
2011-01-09,1,7,2,0,1,1,-3.8,38,11
2011-01-09,1,7,3,0,1,1,-4.1,41,4
2011-01-09,1,7,4,0,1,1,-4.4,43,1
2011-01-09,1,7,5,0,1,1,-4.9,46,1
2011-01-09,1,7,6,0,1,1,-5.2,48,1
2011-01-09,1,7,7,0,1,1,-5.4,48,6
2011-01-09,1,7,8,0,1,1,-5.4,49,10
2011-01-09,1,7,9,0,1,1,-5.4,50,19
2011-01-09,1,7,10,0,1,1,-5.4,51,49
2011-01-09,1,7,11,0,1,1,-5.5,52,49
2011-01-09,1,7,12,0,1,1,-5.6,52,83
2011-01-09,1,7,13,0,1,1,-5.6,53,75
2011-01-09,1,7,14,0,1,1,-4.6,50,72
2011-01-09,1,7,15,0,1,1,-3.0,42,82
2011-01-09,1,7,16,0,1,1,-1.6,37,92
2011-01-09,1,7,17,0,1,1,-0.4,32,62
2011-01-09,1,7,18,0,1,1,0.7,29,48
2011-01-09,1,7,19,0,1,1,1.3,28,41
2011-01-09,1,7,20,0,1,1,1.2,29,38
2011-01-09,1,7,21,0,1,1,0.5,31,20
2011-01-09,1,7,22,0,1,1,-1.1,35,15
2011-01-09,1,7,23,0,1,1,-2.2,40,6
2011-01-10,1,1,0,0,1,1,-2.7,43,5
2011-01-10,1,1,1,0,1,1,-3.1,45,1
2011-01-10,1,1,2,0,1,1,-3.2,46,3
2011-01-10,1,1,3,0,1,1,-3.4,46,1
2011-01-10,1,1,4,0,1,1,-3.6,46,3
2011-01-10,1,1,5,0,1,1,-3.9,47,3
2011-01-10,1,1,6,0,1,1,-4.2,48,31
2011-01-10,1,1,7,0,1,1,-4.3,51,77
2011-01-10,1,1,8,0,1,1,-4.5,52,188
2011-01-10,1,1,9,0,1,1,-4.7,54,94
2011-01-10,1,1,10,0,1,1,-4.9,55,31
2011-01-10,1,1,11,0,1,1,-5.0,56,30
2011-01-10,1,1,12,0,1,1,-5.0,56,52
2011-01-10,1,1,13,0,1,1,-5.0,56,54
2011-01-10,1,1,14,0,1,1,-4.2,53,47
2011-01-10,1,1,15,0,1,1,-3.2,50,45
2011-01-10,1,1,16,0,1,1,-2.1,46,74
2011-01-10,1,1,17,0,1,1,-1.7,44,178
2011-01-10,1,1,18,0,1,1,-0.5,41,155
2011-01-10,1,1,19,0,1,1,0.8,38,95
2011-01-10,1,1,20,0,1,1,1.1,37,74
2011-01-10,1,1,21,0,1,1,0.5,40,38
2011-01-10,1,1,22,0,1,1,-1.0,46,24
2011-01-10,1,1,23,0,1,1,-2.3,50,18
2011-01-11,1,2,0,0,1,1,-3.3,52,12
2011-01-11,1,2,1,0,1,1,-4.2,55,3
2011-01-11,1,2,2,0,1,1,-4.7,56,3
2011-01-11,1,2,3,0,1,1,-4.9,57,3
2011-01-11,1,2,4,0,1,1,-4.8,56,3
2011-01-11,1,2,5,0,1,1,-4.8,56,6
2011-01-11,1,2,6,0,1,1,-5.2,58,27
2011-01-11,1,2,7,0,1,1,-4.9,59,99
2011-01-11,1,2,8,0,1,1,-4.4,58,217
2011-01-11,1,2,9,0,1,1,-3.9,56,130
2011-01-11,1,2,10,0,1,1,-3.3,54,54
2011-01-11,1,2,11,0,1,1,-3.0,54,35
2011-01-11,1,2,12,0,1,1,-2.9,55,57
2011-01-11,1,2,13,0,1,1,-2.7,55,52
2011-01-11,1,2,14,0,1,1,-2.3,56,63
2011-01-11,1,2,15,0,1,1,-1.8,57,47
2011-01-11,1,2,16,0,1,4,-1.1,57,76
2011-01-11,1,2,17,0,1,4,-1.0,59,136
2011-01-11,1,2,18,0,1,4,-0.8,61,95
2011-01-11,1,2,19,0,1,4,-1.0,66,51
2011-01-11,1,2,20,0,1,4,-1.0,69,32
2011-01-11,1,2,21,0,1,4,-1.3,72,20
2011-01-11,1,2,22,0,1,4,-1.8,79,29
2011-01-11,1,2,23,0,1,4,-2.2,85,19
2011-01-12,1,3,0,0,1,4,-2.3,87,7
2011-01-12,1,3,1,0,1,4,-2.2,88,6
2011-01-12,1,3,2,0,1,4,-2.3,90,1
2011-01-12,1,3,3,0,1,4,-2.4,91,1
2011-01-12,1,3,4,0,1,4,-2.6,92,1
2011-01-12,1,3,5,0,1,4,-2.7,91,5
2011-01-12,1,3,6,0,1,1,-3.1,90,16
2011-01-12,1,3,7,0,1,1,-4.2,91,54
2011-01-12,1,3,8,0,1,1,-5.2,90,128
2011-01-12,1,3,9,0,1,1,-5.7,87,81
2011-01-12,1,3,10,0,1,1,-5.7,79,39
2011-01-12,1,3,11,0,1,1,-5.4,69,35
2011-01-12,1,3,12,0,1,1,-5.2,63,55
2011-01-12,1,3,13,0,1,1,-4.8,60,49
2011-01-12,1,3,14,0,1,1,-3.3,58,44
2011-01-12,1,3,15,0,1,1,-1.0,50,49
2011-01-12,1,3,16,0,1,1,0.3,46,68
2011-01-12,1,3,17,0,1,1,0.8,45,139
2011-01-12,1,3,18,0,1,1,1.0,43,137
2011-01-12,1,3,19,0,1,1,0.8,43,83
2011-01-12,1,3,20,0,1,1,0.4,44,56
2011-01-12,1,3,21,0,1,1,0.1,44,57
2011-01-12,1,3,22,0,1,1,-1.0,48,33
2011-01-12,1,3,23,0,1,1,-2.0,50,20
2011-01-13,1,4,0,0,1,1,-2.6,52,7
2011-01-13,1,4,1,0,1,1,-2.9,54,2
2011-01-13,1,4,2,0,1,1,-3.2,55,2
2011-01-13,1,4,3,0,1,1,-3.6,57,3
2011-01-13,1,4,4,0,1,1,-3.9,58,4
2011-01-13,1,4,5,0,1,1,-4.2,59,3
2011-01-13,1,4,6,0,1,1,-4.4,59,28
2011-01-13,1,4,7,0,1,1,-3.6,58,72
2011-01-13,1,4,8,0,1,1,-3.6,58,202
2011-01-13,1,4,9,0,1,1,-3.7,57,139
2011-01-13,1,4,10,0,1,1,-3.8,57,38
2011-01-13,1,4,11,0,1,1,-4.0,57,37
2011-01-13,1,4,12,0,1,1,-3.9,55,52
2011-01-13,1,4,13,0,1,1,-3.9,55,83
2011-01-13,1,4,14,0,1,1,-3.1,51,42
2011-01-13,1,4,15,0,1,1,-2.0,48,60
2011-01-13,1,4,16,0,1,1,-1.0,44,78
2011-01-13,1,4,17,0,1,1,0.0,41,162
2011-01-13,1,4,18,0,1,1,0.7,39,144
2011-01-13,1,4,19,0,1,1,1.7,40,99
2011-01-13,1,4,20,0,1,1,1.7,40,64
2011-01-13,1,4,21,0,1,1,1.2,41,40
2011-01-13,1,4,22,0,1,1,-0.1,46,30
2011-01-13,1,4,23,0,1,1,-1.2,49,15
2011-01-14,1,5,0,0,1,1,-1.8,51,14
2011-01-14,1,5,1,0,1,1,-2.4,53,5
2011-01-14,1,5,2,0,1,1,-2.8,54,1
2011-01-14,1,5,3,0,1,1,-3.2,55,1
2011-01-14,1,5,4,0,1,1,-3.6,57,1
2011-01-14,1,5,5,0,1,1,-4.0,58,8
2011-01-14,1,5,6,0,1,1,-4.3,58,17
2011-01-14,1,5,7,0,1,1,-4.2,57,70
2011-01-14,1,5,8,0,1,1,-4.3,57,158
2011-01-14,1,5,9,0,1,1,-4.5,59,117
2011-01-14,1,5,10,0,1,1,-4.8,60,44
2011-01-14,1,5,11,0,1,1,-5.0,61,53
2011-01-14,1,5,12,0,1,1,-5.0,62,61
2011-01-14,1,5,13,0,1,1,-4.3,60,77
2011-01-14,1,5,14,0,1,1,-2.7,55,64
2011-01-14,1,5,15,0,1,1,-0.9,49,68
2011-01-14,1,5,16,0,1,1,0.5,43,90
2011-01-14,1,5,17,0,1,1,1.2,40,159
2011-01-14,1,5,18,0,1,1,1.5,39,139
2011-01-14,1,5,19,0,1,1,1.6,39,92
2011-01-14,1,5,20,0,1,1,1.8,38,68
2011-01-14,1,5,21,0,1,1,1.5,39,52
2011-01-14,1,5,22,0,1,1,0.6,45,36
2011-01-14,1,5,23,0,1,1,-0.2,48,27
2011-01-15,1,6,0,0,1,1,-1.3,53,28
2011-01-15,1,6,1,0,1,1,-1.6,55,20
2011-01-15,1,6,2,0,1,1,-1.8,57,12
2011-01-15,1,6,3,0,1,1,-1.4,55,8
2011-01-15,1,6,4,0,1,1,-1.3,54,5
2011-01-15,1,6,5,0,1,1,-1.6,56,1
2011-01-15,1,6,6,0,1,1,-1.9,57,3
2011-01-15,1,6,7,0,1,1,-1.7,55,10
2011-01-15,1,6,8,0,1,1,-2.1,56,23
2011-01-15,1,6,9,0,1,1,-2.2,56,33
2011-01-15,1,6,10,0,1,1,-2.4,56,59
2011-01-15,1,6,11,0,1,1,-2.5,57,72
2011-01-15,1,6,12,0,1,1,-2.6,57,89
2011-01-15,1,6,13,0,1,1,-3.1,60,101
2011-01-15,1,6,14,0,1,1,-0.8,52,118
2011-01-15,1,6,15,0,1,1,1.3,46,129
2011-01-15,1,6,16,0,1,1,3.3,40,128
2011-01-15,1,6,17,0,1,1,5.0,37,83
2011-01-15,1,6,18,0,1,1,6.1,35,84
2011-01-15,1,6,19,0,1,1,6.8,34,74
2011-01-15,1,6,20,0,1,1,7.0,35,41
2011-01-15,1,6,21,0,1,1,6.1,40,57
2011-01-15,1,6,22,0,1,1,4.6,46,26
2011-01-15,1,6,23,0,1,1,3.7,50,44
2011-01-16,1,7,0,0,1,1,3.4,51,39
2011-01-16,1,7,1,0,1,1,3.4,52,23
2011-01-16,1,7,2,0,1,1,2.8,56,16
2011-01-16,1,7,3,0,1,1,1.7,61,15
2011-01-16,1,7,4,0,1,1,0.7,65,1
2011-01-16,1,7,5,0,1,1,-0.6,72,2
2011-01-16,1,7,6,0,1,1,-1.7,79,1
2011-01-16,1,7,7,0,1,1,-0.8,76,3
2011-01-16,1,7,8,0,1,1,-0.7,80,18
2011-01-16,1,7,9,0,1,1,0.2,79,32
2011-01-16,1,7,10,0,1,1,-0.0,80,79
2011-01-16,1,7,11,0,1,1,-0.2,76,93
2011-01-16,1,7,12,0,1,1,-0.3,66,104
2011-01-16,1,7,13,0,1,1,-0.6,59,118
2011-01-16,1,7,14,0,1,1,-0.1,51,91
2011-01-16,1,7,15,0,1,1,0.7,47,113
2011-01-16,1,7,16,0,1,1,1.7,42,99
2011-01-16,1,7,17,0,1,1,2.6,38,105
2011-01-16,1,7,18,0,1,1,3.2,41,67
2011-01-16,1,7,19,0,1,1,4.0,41,61
2011-01-16,1,7,20,0,1,1,3.9,40,57
2011-01-16,1,7,21,0,1,1,3.3,40,28
2011-01-16,1,7,22,0,1,1,1.9,44,21
2011-01-16,1,7,23,0,1,1,-0.1,51,18
2011-01-17,1,1,0,1,1,1,-1.7,57,17
2011-01-17,1,1,1,1,1,1,-2.8,58,16
2011-01-17,1,1,2,1,1,1,-3.2,52,8
2011-01-17,1,1,3,1,1,1,-3.1,50,2
2011-01-17,1,1,4,1,1,1,-3.5,51,3
2011-01-17,1,1,5,1,1,1,-3.3,49,1
2011-01-17,1,1,6,1,1,1,-3.0,48,5
2011-01-17,1,1,7,1,1,1,-2.3,43,13
2011-01-17,1,1,8,1,1,1,-2.5,44,33
2011-01-17,1,1,9,1,1,1,-1.7,42,47
2011-01-17,1,1,10,1,1,1,-1.5,42,57
2011-01-17,1,1,11,1,1,1,-1.5,43,64
2011-01-17,1,1,12,1,1,1,-1.6,44,80
2011-01-17,1,1,13,1,1,1,-1.7,46,93
2011-01-17,1,1,14,1,1,1,-1.7,48,86
2011-01-17,1,1,15,1,1,1,-1.5,48,93
2011-01-17,1,1,16,1,1,1,-1.2,48,82
2011-01-17,1,1,17,1,1,1,-0.8,48,71
2011-01-17,1,1,18,1,1,1,0.0,47,92
2011-01-17,1,1,19,1,1,1,0.7,46,60
2011-01-17,1,1,20,1,1,1,0.6,48,33
2011-01-17,1,1,21,1,1,1,0.5,51,27
2011-01-17,1,1,22,1,1,1,-0.2,57,13
2011-01-17,1,1,23,1,1,4,-0.6,62,4
2011-01-18,1,2,0,0,1,4,-0.8,68,4
2011-01-18,1,2,1,0,1,4,-1.0,77,4
2011-01-18,1,2,2,0,1,4,-1.1,84,4
2011-01-18,1,2,3,0,1,4,-1.0,90,4
2011-01-18,1,2,4,0,1,4,-0.8,95,4
2011-01-18,1,2,5,0,1,4,-0.5,96,4
2011-01-18,1,2,6,0,1,3,-0.1,97,4
2011-01-18,1,2,7,0,1,2,-0.8,96,4
2011-01-18,1,2,8,0,1,2,-0.5,98,4
2011-01-18,1,2,9,0,1,2,-0.0,98,4
2011-01-18,1,2,10,0,1,1,0.4,98,4
2011-01-18,1,2,11,0,1,1,0.5,99,4
2011-01-18,1,2,12,0,1,1,0.5,98,3
2011-01-18,1,2,13,0,1,1,0.3,97,22
2011-01-18,1,2,14,0,1,1,0.5,95,28
2011-01-18,1,2,15,0,1,1,0.8,92,35
2011-01-18,1,2,16,0,1,1,1.7,90,61
2011-01-18,1,2,17,0,1,1,2.6,88,125
2011-01-18,1,2,18,0,1,1,3.6,85,133
2011-01-18,1,2,19,0,1,1,2.0,86,99
2011-01-18,1,2,20,0,1,1,2.7,83,83
2011-01-18,1,2,21,0,1,1,2.8,83,41
2011-01-18,1,2,22,0,1,1,1.8,88,33
2011-01-18,1,2,23,0,1,1,0.6,91,20
2011-01-19,1,3,0,0,1,1,-0.2,92,3
2011-01-19,1,3,1,0,1,1,-1.1,94,7
2011-01-19,1,3,2,0,1,1,-1.4,94,3
2011-01-19,1,3,3,0,1,1,-1.5,95,3
2011-01-19,1,3,4,0,1,1,-1.3,95,2
2011-01-19,1,3,5,0,1,2,-0.7,94,7
2011-01-19,1,3,6,0,1,2,-0.2,94,32
2011-01-19,1,3,7,0,1,2,-0.5,98,90
2011-01-19,1,3,8,0,1,2,0.0,98,197
2011-01-19,1,3,9,0,1,2,0.4,98,109
2011-01-19,1,3,10,0,1,1,0.4,98,47
2011-01-19,1,3,11,0,1,1,-0.1,98,52
2011-01-19,1,3,12,0,1,1,-0.8,99,70
2011-01-19,1,3,13,0,1,1,-1.0,98,78
2011-01-19,1,3,14,0,1,1,1.4,96,75
2011-01-19,1,3,15,0,1,1,5.3,88,82
2011-01-19,1,3,16,0,1,1,7.1,78,104
2011-01-19,1,3,17,0,1,1,8.2,69,197
2011-01-19,1,3,18,0,1,1,9.1,61,161
2011-01-19,1,3,19,0,1,1,9.8,61,112
2011-01-19,1,3,20,0,1,1,9.8,60,76
2011-01-19,1,3,21,0,1,1,9.1,62,59
2011-01-19,1,3,22,0,1,1,7.0,68,59
2011-01-19,1,3,23,0,1,1,4.9,76,28
2011-01-20,1,4,0,0,1,1,3.9,77,13
2011-01-20,1,4,1,0,1,1,3.3,76,5
2011-01-20,1,4,2,0,1,1,2.6,75,2
2011-01-20,1,4,3,0,1,1,1.8,76,1
2011-01-20,1,4,4,0,1,1,1.0,77,1
2011-01-20,1,4,5,0,1,1,0.4,77,6
2011-01-20,1,4,6,0,1,1,-0.1,76,35
2011-01-20,1,4,7,0,1,1,0.1,82,101
2011-01-20,1,4,8,0,1,1,-1.2,86,249
2011-01-20,1,4,9,0,1,1,-2.0,86,143
2011-01-20,1,4,10,0,1,1,-2.2,85,57
2011-01-20,1,4,11,0,1,1,-1.6,81,68
2011-01-20,1,4,12,0,1,1,-1.2,78,84
2011-01-20,1,4,13,0,1,1,-0.5,75,98
2011-01-20,1,4,14,0,1,1,0.7,67,81
2011-01-20,1,4,15,0,1,1,1.5,60,70
2011-01-20,1,4,16,0,1,1,2.7,54,91
2011-01-20,1,4,17,0,1,1,3.7,53,215
2011-01-20,1,4,18,0,1,1,4.3,52,185
2011-01-20,1,4,19,0,1,1,5.5,52,152
2011-01-20,1,4,20,0,1,1,5.6,51,126
2011-01-20,1,4,21,0,1,1,5.3,52,57
2011-01-20,1,4,22,0,1,1,4.1,58,56
2011-01-20,1,4,23,0,1,1,2.8,64,31
2011-01-21,1,5,0,0,1,1,1.9,68,21
2011-01-21,1,5,1,0,1,1,1.4,72,6
2011-01-21,1,5,2,0,1,1,1.1,75,2
2011-01-21,1,5,3,0,1,1,1.2,75,1
2011-01-21,1,5,4,0,1,4,1.5,76,1
2011-01-21,1,5,5,0,1,4,1.7,81,5
2011-01-21,1,5,6,0,1,4,1.9,88,27
2011-01-21,1,5,7,0,1,4,1.6,93,68
2011-01-21,1,5,8,0,1,4,1.5,95,217
2011-01-21,1,5,9,0,1,1,1.5,89,166
2011-01-21,1,5,10,0,1,1,0.6,72,63
2011-01-21,1,5,11,0,1,1,-0.5,63,59
2011-01-21,1,5,12,0,1,1,-1.2,60,78
2011-01-21,1,5,13,0,1,1,-1.5,59,73
2011-01-21,1,5,14,0,1,1,-1.2,54,62
2011-01-21,1,5,15,0,1,1,-0.7,48,65
2011-01-21,1,5,16,0,1,1,-0.4,40,97
2011-01-21,1,5,17,0,1,1,-0.5,35,161
2011-01-21,1,5,18,0,1,1,-0.7,33,120
2011-01-21,1,5,19,0,1,1,-0.6,32,96
2011-01-21,1,5,20,0,1,1,-1.1,30,53
2011-01-21,1,5,21,0,1,1,-1.8,29,41
2011-01-21,1,5,22,0,1,1,-2.7,28,34
2011-01-21,1,5,23,0,1,1,-3.5,29,27
2011-01-22,1,6,0,0,1,1,-4.1,30,13
